Time,s,t,t_ref,e_t,devang,psi_ref,e_psi,yawrate,v,delta_cmd_logged,applied_delta_cmd,applied_delta_rate,steer_manual
0.02,8.39999698399995,-8.62295782719021e-09,4.72016185363139e-06,-4.72878481145858e-06,1.00528502170932e-09,2.23416278708452e-05,-2.23406225858235e-05,1.58661762861376e-08,5.67828081408742e-07,1.05368367529218e-05,1.05368367529218e-05,0.000150067800866287,-8.10637315862888e-16
0.021,8.39999698399995,-9.83739788953162e-09,4.72016185363139e-06,-4.72999925152092e-06,1.02115119799546e-09,2.23416278708452e-05,-2.23406067196472e-05,-1.34560525152067e-08,6.21000010980997e-07,1.05649026160104e-05,1.05649026160104e-05,2.80658630886006e-05,-8.13783867112652e-16
0.022,8.39999698399995,-1.11719307153136e-08,4.72016185363139e-06,-4.7313337843467e-06,1.00769514548026e-09,2.23416278708452e-05,-2.23406201756998e-05,-4.76430364272589e-08,6.81253069939402e-07,1.0592968479099e-05,1.0592968479099e-05,2.80658630886024e-05,-7.93707124190442e-16
0.023,8.39999698399995,-1.26184095155476e-08,4.72016185363139e-06,-4.73278026314693e-06,9.60052109052997e-10,2.23416278708452e-05,-2.23406678187362e-05,-8.36888517977844e-08,7.48193753097699e-07,1.06210343421876e-05,1.06210343421876e-05,2.80658630886023e-05,-7.47462894726347e-16
0.024,8.39999698399995,-1.41727573506182e-08,4.72016185363139e-06,-4.73433461098201e-06,8.76363257255213e-10,2.23416278708452e-05,-2.2340751507588e-05,-1.17536879179047e-07,8.20723033924322e-07,1.06491002052762e-05,1.06491002052762e-05,2.80658630886006e-05,-6.73679421241779e-16
0.025,8.39999698399995,-1.5822839644174e-08,4.72016185363139e-06,-4.73598469327556e-06,7.58826378076165e-10,2.23416278708452e-05,-2.23408690444672e-05,-1.47950776483991e-07,8.97973593218893e-07,1.06771660683648e-05,1.06771660683648e-05,2.80658630886006e-05,-5.74491347893709e-16
0.026,8.39999698399995,-1.75502475687641e-08,4.72016185363139e-06,-4.73771210120015e-06,6.10875601592174e-10,2.23416278708452e-05,-2.23410169952436e-05,-1.75962836365572e-07,9.79384917768168e-07,1.07052319314535e-05,1.07052319314535e-05,2.80658630886023e-05,-4.55139010414375e-16
0.027,8.39999698399995,-1.93348787853328e-08,4.72016185363139e-06,-4.73949673241672e-06,4.34912765226602e-10,2.23416278708452e-05,-2.234119295808e-05,-2.03456207797777e-07,1.06462735824984e-06,1.07332977945421e-05,1.07332977945421e-05,2.80658630886007e-05,-3.20321630515275e-16
0.028,8.39999698399995,-2.11578207136251e-08,4.72016185363139e-06,-4.74131967434501e-06,2.31456557428826e-10,2.23416278708452e-05,-2.23413964142878e-05,-2.32252060298447e-07,1.15354696498254e-06,1.07613636576307e-05,1.07613636576307e-05,2.80658630886006e-05,-1.73494590138797e-16
0.029,8.39999698399995,-2.30042499243825e-08,4.72016185363139e-06,-4.74316610355577e-06,-7.95502869621403e-13,2.23416278708452e-05,-2.23416286663481e-05,-2.6328792166419e-07,1.24601086155912e-06,1.07894295207193e-05,1.07894295207193e-05,2.80658630886023e-05,-1.67760683349818e-17
0.03,8.39999698399995,-2.48661445761289e-08,4.72016185363139e-06,-4.74502799820752e-06,-2.64083424533812e-10,2.23416278708452e-05,-2.23418919542698e-05,-2.95957917897212e-07,1.34168647351604e-06,1.08174953838079e-05,1.08174953838079e-05,2.80658630886007e-05,1.48714409382797e-16
0.031,8.39999698399995,-2.67413474047491e-08,4.72016185363139e-06,-4.74690320103614e-06,-5.60041342431024e-10,2.23416278708452e-05,-2.23421879121877e-05,-3.2843981428162e-07,1.44003405105531e-06,1.08455612468965e-05,1.08455612468965e-05,2.80658630886006e-05,3.2214154386236e-16
0.032,8.39999698399995,-2.86281038557651e-08,4.72016185363139e-06,-4.74878995748715e-06,-8.88481156712643e-10,2.23416278708452e-05,-2.23425163520019e-05,-3.59081483980212e-07,1.54064520210276e-06,1.08736271099851e-05,1.08736271099851e-05,2.80658630886023e-05,5.02423329863585e-16
0.033,8.39999698399995,-3.0520361281935e-08,4.72016185363139e-06,-4.75068221491332e-06,-1.24756264069286e-09,2.23416278708452e-05,-2.23428754334859e-05,-3.87420296364394e-07,1.64354806403733e-06,1.09016929730737e-05,1.09016929730737e-05,2.80658630886006e-05,6.88516068339834e-16
0.034,8.39999698399995,-3.24071033982714e-08,4.72016185363139e-06,-4.75256895702966e-06,-1.63498293705725e-09,2.23416278708452e-05,-2.23432628537823e-05,-4.14153396512356e-07,1.74916747191109e-06,1.09297588361623e-05,1.09297588361623e-05,2.80658630886006e-05,8.79953398561018e-16
0.035,8.39999698399995,-3.42745806183862e-08,4.72016185363139e-06,-4.75443643424977e-06,-2.04913633356961e-09,2.23416278708452e-05,-2.23436770071788e-05,-4.40528365929789e-07,1.85803950706224e-06,1.09578246992509e-05,1.09578246992509e-05,2.80658630886023e-05,1.07677561345794e-15
0.036,8.39999698399995,-3.61100423968888e-08,4.72016185363139e-06,-4.75627189602828e-06,-2.4896646994994e-09,2.23416278708452e-05,-2.23441175355447e-05,-4.67553292350756e-07,1.97044025320263e-06,1.09858905623395e-05,1.09858905623395e-05,2.80658630886006e-05,1.27904546292231e-15
0.037,8.39999698399995,-3.79055758234442e-08,4.72016185363139e-06,-4.75806742945483e-06,-2.95721799185015e-09,2.23416278708452e-05,-2.23445850888371e-05,-4.95328774197975e-07,2.0860724501003e-06,1.10139564254281e-05,1.10139564254281e-05,2.80658630886025e-05,1.48656834242884e-15
0.038,8.39999698399995,-3.96595132269311e-08,4.72016185363139e-06,-4.75982136685832e-06,-3.45254676604813e-09,2.23416278708452e-05,-2.23450804176113e-05,-5.23038350643755e-07,2.20403197214254e-06,1.10420222885167e-05,1.10420222885167e-05,2.80658630886006e-05,1.69856086328686e-15
0.039,8.39999698399995,-4.13738988659348e-08,4.72016185363139e-06,-4.76153575249732e-06,-3.97558511669188e-09,2.23416278708452e-05,-2.23456034559619e-05,-5.49820076087626e-07,2.32318226734117e-06,1.10700881516053e-05,1.10700881516053e-05,2.80658630886023e-05,1.91352640237905e-15
0.04,8.39999698399995,-4.30503296128584e-08,4.72016185363139e-06,-4.76321218324425e-06,-4.52540519277951e-09,2.23416278708452e-05,-2.2346153276038e-05,-5.75778691171392e-07,2.44269498025995e-06,1.10981540146939e-05,1.10981540146939e-05,2.80658630886006e-05,2.12959602434092e-15
0.041,8.39999698399995,-4.46871119149626e-08,4.72016185363139e-06,-4.76484896554635e-06,-5.1011838839509e-09,2.23416278708452e-05,-2.23467290547292e-05,-6.02375825604376e-07,2.56241834539629e-06,1.1072592529499e-05,1.1072592529499e-05,-2.55614851949075e-05,2.34527908755534e-15
0.042,8.39999698399995,-4.62772377443926e-08,4.72016185363139e-06,-4.76643909137578e-06,-5.70355970955527e-09,2.23416278708452e-05,-2.23473314305548e-05,-6.32432084981856e-07,2.68309184444217e-06,1.10470310443041e-05,1.10470310443041e-05,-2.55614851949109e-05,2.56032524743925e-15
0.043,8.39999698399995,-4.78020319329906e-08,4.72016185363139e-06,-4.76796388556438e-06,-6.33599179453713e-09,2.23416278708452e-05,-2.23479638626398e-05,-6.71080154244522e-07,2.80689433170451e-06,1.10214695591091e-05,1.10214695591091e-05,-2.55614851949075e-05,2.77667506486534e-15
0.044,8.39999698399995,-4.9317637008906e-08,4.72016185363139e-06,-4.76947949064029e-06,-7.00707194878165e-09,2.23416278708452e-05,-2.2348634942794e-05,-7.03862459332327e-07,2.92839228436972e-06,1.09959080739142e-05,1.09959080739142e-05,-2.55614851949094e-05,2.99597770967719e-15
