s_ref,t_ref,psi_ref,delta_ff
168.000000,-0.004055267,-0.000153171,-0.001081212
168.500000,-0.004148141,-0.000155246,-0.001082828
169.000000,-0.004241015,-0.000157320,-0.001084444
169.500000,-0.004334981,-0.000159409,-0.001086080
170.000000,-0.004434810,-0.000161577,-0.001087820
170.500000,-0.004534640,-0.000163744,-0.001089559
171.000000,-0.004634469,-0.000165912,-0.001091299
171.500000,-0.004734298,-0.000168079,-0.001093039
172.000000,-0.004834128,-0.000170247,-0.001094779
172.500000,-0.004933957,-0.000172414,-0.001096519
173.000000,-0.005038972,-0.000174654,-0.001098410
173.500000,-0.005146079,-0.000176922,-0.001100361
174.000000,-0.005253186,-0.000179191,-0.001102313
174.500000,-0.005360294,-0.000181460,-0.001104265
175.000000,-0.005467401,-0.000183728,-0.001106217
175.500000,-0.005574509,-0.000185997,-0.001108169
176.000000,-0.005683663,-0.000188296,-0.001110185
176.500000,-0.005798411,-0.000190678,-0.001112375
177.000000,-0.005913158,-0.000193061,-0.001114566
177.500000,-0.006027906,-0.000195443,-0.001116757
178.000000,-0.006142653,-0.000197826,-0.001118947
178.500000,-0.006257401,-0.000200208,-0.001121138
179.000000,-0.006372149,-0.000202591,-0.001123329
179.500000,-0.006493521,-0.000205079,-0.001125733
180.000000,-0.006616315,-0.000207589,-0.001128184
180.500000,-0.006739108,-0.000210099,-0.001130634
181.000000,-0.006861901,-0.000212609,-0.001133084
181.500000,-0.006984695,-0.000215120,-0.001135535
182.000000,-0.007107488,-0.000217630,-0.001137985
182.500000,-0.007233505,-0.000220195,-0.001140624
183.000000,-0.007364807,-0.000222851,-0.001143572
183.500000,-0.007496108,-0.000225507,-0.001146520
184.000000,-0.007627409,-0.000228163,-0.001149468
184.500000,-0.007758710,-0.000230818,-0.001152416
185.000000,-0.007890011,-0.000233474,-0.001155364
185.500000,-0.008021313,-0.000236130,-0.001158311
186.000000,-0.008161085,-0.000238950,-0.001161821
186.500000,-0.008301450,-0.000241781,-0.001165370
187.000000,-0.008441816,-0.000244613,-0.001168918
187.500000,-0.008582181,-0.000247444,-0.001172467
188.000000,-0.008722547,-0.000250275,-0.001176016
188.500000,-0.008862912,-0.000253107,-0.001179565
189.000000,-0.009008045,-0.000256041,-0.001183414
189.500000,-0.009158137,-0.000259082,-0.001187575
190.000000,-0.009308230,-0.000262124,-0.001191737
190.500000,-0.009458322,-0.000265165,-0.001195898
191.000000,-0.009608415,-0.000268206,-0.001200060
191.500000,-0.009758507,-0.000271247,-0.001204222
192.000000,-0.009909080,-0.000274300,-0.001208428
192.500000,-0.010069688,-0.000277591,-0.001213579
193.000000,-0.010230296,-0.000280881,-0.001218730
193.500000,-0.010390904,-0.000284172,-0.001223881
194.000000,-0.010551512,-0.000287462,-0.001229031
194.500000,-0.010712120,-0.000290753,-0.001234182
195.000000,-0.010872728,-0.000294043,-0.001239333
195.500000,-0.011040244,-0.000297519,-0.001245200
196.000000,-0.011212344,-0.000301119,-0.001251543
196.500000,-0.011384443,-0.000304718,-0.001257885
197.000000,-0.011556543,-0.000308317,-0.001264228
197.500000,-0.011728642,-0.000311916,-0.001270571
198.000000,-0.011900742,-0.000315516,-0.001276913
198.500000,-0.012074829,-0.000319174,-0.001283438
199.000000,-0.012259608,-0.000323150,-0.001290941
199.500000,-0.012444388,-0.000327126,-0.001298443
200.000000,-0.012629167,-0.000331102,-0.001305946
200.500000,-0.012813947,-0.000335078,-0.001313449
201.000000,-0.012998726,-0.000339054,-0.001320952
201.500000,-0.013183506,-0.000343030,-0.001328454
202.000000,-0.013378322,-0.000347324,-0.001336993
202.500000,-0.013577191,-0.000351746,-0.001345949
203.000000,-0.013776061,-0.000356168,-0.001354905
203.500000,-0.013974931,-0.000360591,-0.001363861
204.000000,-0.014173800,-0.000365013,-0.001372817
204.500000,-0.014372670,-0.000369435,-0.001381774
205.000000,-0.014575766,-0.000374000,-0.001391170
205.500000,-0.014790413,-0.000378955,-0.001401770
206.000000,-0.015005059,-0.000383909,-0.001412370
206.500000,-0.015219706,-0.000388864,-0.001422969
207.000000,-0.015434353,-0.000393819,-0.001433569
207.500000,-0.015649000,-0.000398773,-0.001444169
208.000000,-0.015863647,-0.000403728,-0.001454768
208.500000,-0.016092917,-0.000409198,-0.001466638
209.000000,-0.016325323,-0.000414779,-0.001478781
209.500000,-0.016557729,-0.000420360,-0.001490923
210.000000,-0.016790135,-0.000425941,-0.001503065
210.500000,-0.017022541,-0.000431521,-0.001515208
211.000000,-0.017254946,-0.000437102,-0.001527350
211.500000,-0.017494943,-0.000442954,-0.001540119
212.000000,-0.017747378,-0.000449250,-0.001553916
212.500000,-0.017999812,-0.000455546,-0.001567712
213.000000,-0.018252246,-0.000461842,-0.001581508
213.500000,-0.018504680,-0.000468138,-0.001595304
214.000000,-0.018757115,-0.000474435,-0.001609100
214.500000,-0.019009549,-0.000480731,-0.001622897
215.000000,-0.019283115,-0.000487786,-0.001638335
215.500000,-0.019558161,-0.000494895,-0.001653889
216.000000,-0.019833207,-0.000502003,-0.001669443
216.500000,-0.020108253,-0.000509112,-0.001684996
217.000000,-0.020383298,-0.000516220,-0.001700550
217.500000,-0.020658344,-0.000523329,-0.001716103
218.000000,-0.020945895,-0.000530884,-0.001732442
218.500000,-0.021246453,-0.000538905,-0.001749597
219.000000,-0.021547012,-0.000546926,-0.001766752
219.500000,-0.021847570,-0.000554946,-0.001783907
220.000000,-0.022148129,-0.000562967,-0.001801062
220.500000,-0.022448687,-0.000570987,-0.001818217
221.000000,-0.022750558,-0.000579054,-0.001835441
221.500000,-0.023079824,-0.000588077,-0.001854115
222.000000,-0.023409090,-0.000597101,-0.001872789
222.500000,-0.023738356,-0.000606125,-0.001891463
223.000000,-0.024067621,-0.000615148,-0.001910137
223.500000,-0.024396887,-0.000624172,-0.001928811
224.000000,-0.024726153,-0.000633195,-0.001947485
224.500000,-0.025074773,-0.000642875,-0.001967052
225.000000,-0.025436228,-0.000652989,-0.001987211
225.500000,-0.025797684,-0.000663103,-0.002007370
226.000000,-0.026159139,-0.000673218,-0.002027529
226.500000,-0.026520594,-0.000683332,-0.002047687
227.000000,-0.026882049,-0.000693446,-0.002067846
227.500000,-0.027249140,-0.000703745,-0.002088208
228.000000,-0.027646536,-0.000715033,-0.002109664
228.500000,-0.028043932,-0.000726322,-0.002131119
229.000000,-0.028441327,-0.000737611,-0.002152575
229.500000,-0.028838723,-0.000748900,-0.002174031
230.000000,-0.029236119,-0.000760188,-0.002195486
230.500000,-0.029633515,-0.000771477,-0.002216942
